,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
137,1961.0,117.0,8.0,,600.0,,single_family_house,n,need_of_renovation,normal,central_heating,y,Niedersachsen,Stendal_Kreis,349700.0,fake
138,,489.0,4.0,2.0,595.0,,no_information,y,well_kept,no_information,gas_heating,n,Hessen,Breisgau_Hochschwarzwald_Kreis,2950000.0,fake
139,1984.0,178.0,11.0,2.0,1376.0,1.0,multi_family_house,y,no_information,sophisticated,gas_heating,n,Hessen,Trier_Saarburg_Kreis,335000.0,fake
140,1961.0,311.0,5.0,3.0,394.0,,no_information,n,well_kept,normal,heat_pump,n,Nordrhein_Westfalen,Minden_Lübbecke_Kreis,595000.0,fake
141,1962.0,270.0,10.0,,865.0,,multi_family_house,n,no_information,no_information,oil_heating,n,Sachsen_Anhalt,Ansbach_Kreis,54000.0,fake
142,2021.0,235.0,4.0,1.0,480.0,,multi_family_house,n,no_information,no_information,self_contained_central_heating,n,Rheinland_Pfalz,Rastatt_Kreis,99000.0,fake
143,2020.0,163.0,3.0,2.0,156.0,11.0,single_family_house,n,no_information,no_information,central_heating,n,Baden_Württemberg,Schaumburg_Kreis,179000.0,fake
144,2014.0,425.0,4.0,3.0,9575.0,1.0,single_family_house,n,well_kept,no_information,central_heating,n,Rheinland_Pfalz,Ingolstadt,414000.0,fake
145,2018.0,220.0,5.0,2.0,294.0,,semidetached_house,y,no_information,no_information,central_heating,n,Bayern,Ostholstein_Kreis,440053.0,fake
146,2006.0,160.0,6.0,3.0,8000.0,1.0,semidetached_house,n,no_information,normal,oil_heating,n,Rheinland_Pfalz,Odenwaldkreis,320000.0,fake
147,1974.0,140.0,8.0,2.0,520.0,2.0,single_family_house,y,modernized,no_information,gas_heating,n,Niedersachsen,Dithmarschen_Kreis,79000.0,fake
148,1959.0,115.0,3.0,3.0,1400.0,1.0,other_real_estate,n,modernized,simple,central_heating,n,Sachsen,Nordfriesland_Kreis,1224500.0,fake
149,,333.0,5.0,1.0,1420.0,,mid_terrace_house,n,no_information,normal,central_heating,n,Sachsen_Anhalt,Bremen,558710.0,fake
150,2019.0,146.0,6.0,3.0,345.0,,semidetached_house,n,no_information,normal,no_information,n,Niedersachsen,Mainz_Bingen_Kreis,129000.0,fake
151,1880.0,235.0,11.0,,1560.0,,farmhouse,n,well_kept,normal,floor_heating,n,Nordrhein_Westfalen,Gießen_Kreis,85000.0,fake
152,,122.76,20.0,,600.0,,multi_family_house,y,well_kept,no_information,central_heating,n,Niedersachsen,Aachen_Kreis,445000.0,fake
153,1929.0,130.0,6.0,2.0,1540.0,,other_real_estate,n,well_kept,no_information,central_heating,n,Niedersachsen,Borken_Kreis,985000.0,fake
154,1979.0,170.0,5.0,2.0,664.0,1.0,semidetached_house,y,no_information,normal,no_information,n,Nordrhein_Westfalen,Böblingen_Kreis,1500000.0,fake
